,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
0,59990000.0,Secondary,Серпуховская,10.0,Moscow,2.0,73.0,38.8,10.0,4.0,14,Without renovation
1,5250753.0,New building,Красногвардейская,11.0,Moscow region,2.0,35.68,22.7,5.0,11.0,20,Cosmetic
2,14500000.0,Secondary,Алтуфьево,9.0,Moscow,2.0,53.6,33.0,10.0,5.0,16,Designer
3,15799990.0,Secondary,Рассказовка,30.0,Moscow,2.0,54.0,30.3,9.8,14.0,17,European-style renovation
4,9300000.0,Secondary,Новоясеневская,17.0,Moscow,1.0,33.0,18.0,11.0,9.0,9,Cosmetic
5,8778320.0,New building,Депо,19.0,Moscow,1.0,44.56,13.9,18.5,15.0,11,Cosmetic
6,8638633.0,New building,Красногвардейская,11.0,Moscow region,4.0,86.63,50.6,5.9,11.0,20,Cosmetic
7,37000000.0,Secondary,Новаторская,5.0,Moscow,2.0,79.0,56.0,22.8,27.0,33,Without renovation
8,10500000.0,Secondary,Планерная,11.0,Moscow,1.0,35.3,19.3,8.0,5.0,12,European-style renovation
9,9460456.0,New building,Каширская,4.0,Moscow,1.0,31.14,17.9,9.2,19.0,10,Cosmetic
10,180000000.0,Secondary, Парк Культуры,7.0,Moscow,5.0,238.4,122.0,20.0,2.0,4,European-style renovation
11,6900000.0,New building,Котельники,8.0,Moscow region,2.0,69.5,37.3,12.0,11.0,17,Cosmetic
12,12833657.0,Secondary, Павшино,5.0,Moscow region,3.0,58.23,31.6,11.5,22.0,24,Cosmetic
13,25300000.0,Secondary, Строгино,8.0,Moscow,1.0,60.2,24.0,19.0,15.0,29,European-style renovation
14,8644470.0,New building,Братиславская,13.0,Moscow,1.0,44.79,24.8,10.3,3.0,16,Cosmetic
15,16950000.0,Secondary,Люблино,5.0,Moscow,4.0,63.9,34.4,11.9,6.0,9,Cosmetic
16,6289556.0,New building,Красногвардейская,5.0,Moscow region,1.0,46.7,25.7,10.5,7.0,20,Cosmetic
17,16500000.0,Secondary,Планерная,24.0,Moscow,3.0,63.0,46.0,7.0,9.0,12,Cosmetic
18,12069480.0,New building,Депо,19.0,Moscow,3.0,87.46,51.8,15.3,15.0,11,Cosmetic
19,139000000.0,Secondary, Улица 1905 года,15.0,Moscow,3.0,100.0,52.7,14.9,18.0,21,Designer
20,486150000.0,Secondary, Новокузнецкая,10.0,Moscow,5.0,231.5,75.3,45.9,4.0,7,Designer
21,11305926.0,New building,Зябликово,9.0,Moscow region,2.0,62.1,29.2,12.6,3.0,14,Cosmetic
22,18000000.0,Secondary,Медведково,21.0,Moscow,2.0,52.0,30.3,9.0,2.0,14,European-style renovation
23,4840647.0,New building,Красногвардейская,12.0,Moscow region,1.0,37.16,14.9,13.2,4.0,20,Cosmetic
24,6986492.0,New building,Красногвардейская,5.0,Moscow region,2.0,52.4,28.6,9.7,9.0,20,Cosmetic
25,5950874.0,New building,Домодедовская,8.0,Moscow region,1.0,34.09,19.4,9.5,5.0,15,Cosmetic
26,20900000.0,Secondary,Крымская,14.0,Moscow,3.0,59.0,32.0,6.0,9.0,9,European-style renovation
27,18500000.0,Secondary,Пролетарская,8.0,Moscow,3.0,54.6,37.3,5.5,3.0,5,European-style renovation
28,200000000.0,Secondary,Университет,5.0,Moscow,4.0,183.0,116.0,18.0,2.0,19,Designer
29,14054360.0,Secondary, Тульская,13.0,Moscow,6.0,26.57,13.9,5.2,5.0,20,Cosmetic
30,8056050.0,New building,Зябликово,9.0,Moscow region,2.0,64.5,34.7,12.0,12.0,14,Cosmetic
31,21000000.0,Secondary,Технопарк,14.0,Moscow,1.0,43.0,17.0,16.0,4.0,15,Without renovation
32,10676368.0,Secondary, Опалиха,7.0,Moscow region,1.0,41.7,23.2,10.1,5.0,6,Cosmetic
33,9500000.0,New building,Царицыно,7.0,Moscow,1.0,38.5,17.4,9.7,13.0,13,Cosmetic
34,28500000.0,Secondary,Народное Ополчение,15.0,Moscow,2.0,42.7,26.0,6.0,11.0,21,Designer
35,5865800.0,New building,Зябликово,9.0,Moscow region,1.0,42.2,23.5,10.1,12.0,14,Cosmetic
36,19543746.0,New building,Каширская,4.0,Moscow,3.0,71.37,38.2,12.5,17.0,10,European-style renovation
37,27381373.0,Secondary,Панфиловская,6.0,Moscow,2.0,43.4,25.9,8.8,14.0,18,European-style renovation
38,9000000.0,Secondary,Селигерская,17.0,Moscow,0.0,21.4,13.0,8.4,3.0,22,Cosmetic
39,99000000.0,Secondary, Серпуховская,9.0,Moscow,3.0,120.0,35.0,16.6,2.0,14,Designer
40,19427056.0,New building,Каширская,4.0,Moscow,3.0,67.7,36.4,12.2,10.0,10,European-style renovation
41,6115609.0,New building,Красногвардейская,11.0,Moscow region,2.0,50.81,27.5,10.1,16.0,20,Cosmetic
42,9226500.0,New building,Братиславская,13.0,Moscow,2.0,61.51,28.2,16.4,24.0,16,Cosmetic
43,12000000.0,Secondary,Зюзино,13.0,Moscow,1.0,38.0,19.0,9.0,9.0,17,Cosmetic
44,13500000.0,New building,Домодедовская,20.0,Moscow region,3.0,101.2,39.4,21.1,6.0,15,Cosmetic
45,10752500.0,New building,Депо,19.0,Moscow,2.0,63.25,34.1,11.9,6.0,11,Cosmetic
46,15000000.0,Secondary,Алексеевская,11.0,Moscow,1.0,38.0,15.0,12.0,11.0,20,Without renovation
47,4835142.0,New building,Битца,13.0,Moscow region,0.0,31.76,18.2,9.3,13.0,9,Cosmetic
48,97307500.0,Secondary,Тверская,7.0,Moscow,2.0,65.0,43.0,10.0,3.0,9,Designer
49,175000000.0,Secondary, Новые Черёмушки,12.0,Moscow,6.0,408.0,280.0,25.0,7.0,15,Designer
50,17300000.0,Secondary,Юго-Западная,15.0,Moscow,2.0,50.8,30.8,8.3,2.0,16,Cosmetic
51,5279568.0,New building,Красногвардейская,13.0,Moscow region,1.0,47.68,26.2,10.6,9.0,20,Cosmetic
52,19000000.0,Secondary,Пролетарская,6.0,Moscow,3.0,64.6,42.6,8.0,5.0,6,Cosmetic
53,3600000.0,Secondary,Текстильщики,14.0,Moscow,0.0,13.4,8.9,7.7,2.0,12,Cosmetic
54,4843700.0,New building,Алма-Атинская,13.0,Moscow region,2.0,52.04,28.4,10.9,14.0,16,Cosmetic
55,10130859.0,New building,Зябликово,9.0,Moscow region,2.0,61.1,35.2,10.7,9.0,14,Cosmetic
56,8340000.0,Secondary,Кузьминки,13.0,Moscow,1.0,35.0,19.7,10.0,5.0,16,Designer
57,40883244.0,Secondary, Алексеевская,4.0,Moscow,0.0,112.0,58.8,15.9,12.0,15,Cosmetic
58,62904600.0,Secondary, Китай-город,2.0,Moscow,2.0,105.9,26.0,15.4,3.0,8,Cosmetic
59,243216250.0,Secondary,Кропоткинская,4.0,Moscow,4.0,152.6,106.0,27.0,3.0,5,Designer
60,11200000.0,Secondary, Прокшино,6.0,Moscow,1.0,36.9,12.4,11.7,4.0,16,Cosmetic
61,90088200.0,Secondary,Баррикадная,11.0,Moscow,6.0,183.0,94.7,12.0,3.0,5,Designer
62,10629918.0,New building,Зябликово,7.0,Moscow region,3.0,75.4,41.0,12.3,8.0,14,Cosmetic
63,45500000.0,Secondary,Октябрьское поле,20.0,Moscow,4.0,94.2,49.8,14.4,23.0,24,Designer
